DevType,avg_salary
Financial analyst or engineer,437547.0
"Senior executive (C-suite, VP, etc.)",208800.79430379748
Engineering manager,174202.29846582984
"Founder, technology or otherwise",169280.54404145078
"Developer, embedded applications or devices",158180.51875808538
Cybersecurity or InfoSec professional,144322.39896373058
Cloud infrastructure engineer,125994.38721804511
Product manager,121218.88695652173
"Architect, software or solutions",118906.1057810578
Applied scientist,118456.85802469136
AI/ML engineer,114021.33238636363
System administrator,108306.66390041493
Database administrator or engineer,107244.39393939394
Data engineer,105712.0594262295
Support engineer or analyst,101600.34126984127
Data scientist,101126.44057971015
"Developer, back-end",100619.74410945021
DevOps engineer or professional,100575.94404591105
Other (please specify):,92433.1736453202
"Developer, full-stack",91902.25366707038
